"Paper Title","Paper Author","Paper Year","DOI","Region","Climate Source","Climate_Ref","URL","Pollen Data","Available","Clim Methods"
"Climatic changes in Eurasia and Africa at the last glacial maximum and mid-Holocene: reconstruction from pollen data using inverse vegetation modelling","Wu et al.",2007,"https://doi.org/10.1007/s00382-007-0231-3","Eurasia"," Africa","Leemans and Cramer 0.5 degree resolution grid global dataset","Leemans and Cramer (1991)","Prentice et al. (1996);  Jolly  et al. (1998b);  Tarasov et al. (1998); Elenga et al. (2000); Tarasov et al. (2000)",,
"Reconciling divergent trends and millennial variations in Holocene temperatures","Marsicek et al",2018,"doi:10.1038/nature25464","North America; Europe","CRU 1961-1990; WorldClim","New et al. (2002);  Hijmans et al. (2005)",,"NAMPD (Whitmore et al 2005); EMPD (Davis et al. 2013)",,
"Pollen-Based Quantitative Reconstruction of Holocene Climate Changes in the Daihai Lake Area, Inner Mongolia, China","Xu et al.",2010,"10.1175/2009JCLI3155.1","China: Inner Mongolia","1961-1990"," Daily records from 243  met stations in northern China from China National Weather Service",,"237 surface  pollen  samples  taken  from  Mongolia",,
"A BAYESIAN SPATIOTEMPORAL MODEL FOR RECONSTRUCTING CLIMATE FROM MULTIPLE POLLEN RECORDS","Holmstr ?om et al",2015,"10.1214/15-AOAS832","Europe: southern Fennoscandia","1961-1990 Climate Normals data from grids of nearby meteorological stations",,,"Sepp ̈a and Birks (2001); Sepp ̈a et al. (2009); Antonsson et al. (2006)",,
"Quantitative pollen-based climate reconstruction in central Japan: Application to surface and Late Quaternary spectra","Nakagawa et al.",2002,"https://doi.org/10.1016/S0277-3791(02)00014-8","Japan","1961-1990 climate normals for Japan"," Japan Meteorological Agency",,"Gotanda et al. (2002);  Japanese Pollen Publication Database",,
"Last Glacial pollen-climate reconstructions from Northland, New Zealand","Newnham et al.",2017,"https://doi.org/10.1002/jqs.2955","South Pacific: New Zealand","average monthly climate data from local meteorological stations","Leathwick and Stephens (unpublished report 1998)"," Leathwick (2001)","New Zealand pre-deforestation pollen dataset; Wilmshurst et  al (2007) DOI: 10.1002/jqs.1135",,
"Pollen-climate reconstruction from northern South Island, New Zealand (41 ?S), reveals varying high- and low-latitude teleconnections over the last 16 000 years","Jara et al.",2015,"https://doi.org/10.1002/jqs.2818","South Pacific: New Zealand","average monthly climate data from meteorological stations","Leathwick and Stephens (unpublished report 1998)"," Leathwick (2001)","New Zealand pre-deforestation pollen dataset; Wilmshurst et  al (2007) DOI: 10.1002/jqs.1135",,"WA-PLS; MAT"
"Examining bias in pollen-based quantitative climate reconstructions induced by human impact on vegetation in China","Ding et al",2017,"https://doi.org/10.5194/cp-13-1285-2017","China","China National Meteorological Information Center (1981-2010 observations from 1208 meteorological stations)",,"http://data.cma.cn","various",,"WA-PLS"
"Holocene vegetation and climate changes in the central Mediterranean inferred from a high-resolution marine pollen record (Adriatic Sea)","Combourieu-Nebout et al.",2013,"https://doi.org/10.5194/cp-9-2023-2013","Europe: Meditteranean","CRU 1961-1990","New et al. (2002)",,"Dormoy et al. (2009)",,"MAT"
"Variations in precipitation over North America over the past 2000 years","Ladd et al.",2018,"https://doi.org/10.1177/0959683617735583","North America","CRU 1961-1990","New et al. (2002)",," Whitmore et al (2005)",,
"Millennial-scale temperature variations in North America during the Holocene.","Viau et al.",2006,"https://doi.org/10.1029/2005JD006031","North America","CRU 1961-1990","New et al. (2002)",," Whitmore et al (2005)",,"MAT"
"Multi-proxy record of postglacial environmental change, south-central Melville Island, Northwest Territories, Canada.","Peros et al.",2010,"https://doi.org/10.1016/j.yqres.2009.11.010","North America: Canadian Arctic","CRU 1961-1990","New et al. (2002)",," Whitmore et al (2005)",,
"Quantitative reconstruction of Holocene temperatures across the Canadian Arctic and Greenland. ","Gajewski",2016,"10.1016/j.gloplacha.2015.02.003","North America: Canadian Arctic and Greenland","CRU 1961-1990","New et al. (2002)",," Whitmore et al (2005)",,"MAT"
"Low- and High-frequency climate variability in eastern Beringia during the past 25 000 years","Viau et al.",2008,"https://doi.org/10.1139/E08-036","North America: eastern Beringia","CRU 1961-1990","New et al. (2002)",," Whitmore et al (2005)",,"MAT"
"A pollen-based reconstruction of summer temperature in central North America and implications for circulation patterns during medieval times","Wahl et al.",2012,"https://doi.org/10.1016/j.gloplacha.2011.10.005","North America: north-central US","CRU 1961-1990","New et al. (2002)",," Whitmore et al (2005)",,
"Quantitative reconstructions of mid- to late Holocene climate and vegetation in the north-eastern Altai Mountains recorded in Lake Teletskoye","Rudaya et al",2016,"https://doi.org/10.1016/j.gloplacha.2016.04.002","Russia: Altai Mountains, West Siberia","CRU 1961-1990","New et al. (2002)",,,,"WA; WA-PLS"
"Late Glacial and Holocene changes in vegetation cover and climate in southern Siberia derived from a 15 kyr long pollen record from Lake Kotokel","Tarasov et al.",2009,"https://doi.org/10.5194/cp-5-285-2009","Russia: southern Siberia","CRU 1961-1990","New et al. (2002)",,"Tarasov et al. (2005)",,
